"","fieldsite","Age","ageclass","Gender","CTL","C6_prev_6","C6_prev_11","C6_prev_12","C6_prev_13","C6_prev_14","C6_prev_15","R4_relig_spirit","PO1_gen_1","PO1_gen_2","threat","R1_comm_risk_1","R1_comm_risk_2","R1_comm_risk_3","R1_comm_risk_4","Vaccinated","WaxWilling","HandWash","HandDisinfect","StayHome","Antibact","MaskFreq","AvoidPublic","Stockup","AltRem","CoverCough","SocDist","selfthreat","famthreat","commthreat","countrythreat","Threat","PO_social","PO_econ","CTL_c","AGE_c","threat_c","selfthreat_c","famthreat_c","commthreat_c","countrythreat_c","religious","spiritual","non_relig"
"1049","CH",42,"40-49","2",27,2,NA,NA,NA,NA,NA,3,1,1,8,2,2,2,2,1,NA,1,6,1,6,7,2,1,1,7,7,2,2,2,2,8,1,1,0.734146341463415,6.9609756097561,-4.99024390243902,-1.14878048780488,-1.06829268292683,-1.14390243902439,-1.62926829268293,0,0,1
"1050","CH",40,"40-49","2",30,5,NA,NA,NA,NA,NA,3,2,2,9,2,2,2,3,1,NA,7,7,3,4,6,5,2,1,6,2,2,2,2,3,9,2,2,3.73414634146341,4.9609756097561,-3.99024390243902,-1.14878048780488,-1.06829268292683,-1.14390243902439,-0.629268292682927,0,0,1
"1051","CH",41,"40-49","2",24,3,NA,NA,NA,NA,NA,3,2,2,10,2,2,2,4,1,NA,6,4,3,1,4,3,1,1,3,7,2,2,2,4,10,2,2,-2.26585365853659,5.9609756097561,-2.99024390243902,-1.14878048780488,-1.06829268292683,-1.14390243902439,0.370731707317073,0,0,1
"1052","CH",34,"30-39","2",28,3,NA,NA,NA,NA,NA,3,2,2,18,4,4,5,5,1,NA,7,7,6,6,7,3,3,2,7,6,4,4,5,5,18,2,2,1.73414634146341,-1.0390243902439,5.00975609756098,0.851219512195122,0.931707317073171,1.85609756097561,1.37073170731707,0,0,1
"1053","CH",37,"30-39","2",18,4,NA,NA,NA,NA,NA,1,5,6,18,4,4,5,5,1,NA,5,5,6,3,4,4,1,7,2,2,4,4,5,5,18,5,6,-8.26585365853659,1.9609756097561,5.00975609756098,0.851219512195122,0.931707317073171,1.85609756097561,1.37073170731707,1,0,0
"1054","CH",57,"50-64","2",29,1,NA,NA,NA,NA,NA,3,2,2,16,4,4,4,4,1,NA,7,7,4,7,7,1,3,7,7,7,4,4,4,4,16,2,2,2.73414634146341,21.9609756097561,3.00975609756098,0.851219512195122,0.931707317073171,0.85609756097561,0.370731707317073,0,0,1
"1055","CH",44,"40-49","2",29,1,NA,NA,NA,NA,NA,2,1,1,14,4,3,3,4,1,NA,6,6,7,1,7,1,3,1,6,1,4,3,3,4,14,1,1,2.73414634146341,8.9609756097561,1.00975609756098,0.851219512195122,-0.0682926829268293,-0.14390243902439,0.370731707317073,0,1,0
"1056","CH",66,"65+","2",27,6,NA,NA,NA,NA,NA,3,2,2,14,2,3,4,5,1,NA,7,3,3,3,5,6,1,1,4,5,2,3,4,5,14,2,2,0.734146341463415,30.9609756097561,1.00975609756098,-1.14878048780488,-0.0682926829268293,0.85609756097561,1.37073170731707,0,0,1
"1057","CH",32,"30-39","2",31,1,NA,NA,NA,NA,NA,1,1,4,12,3,3,3,3,1,NA,7,6,3,1,7,1,3,7,7,7,3,3,3,3,12,1,4,4.73414634146341,-3.0390243902439,-0.990243902439024,-0.148780487804878,-0.0682926829268293,-0.14390243902439,-0.629268292682927,1,0,0
"1058","CH",24,"18-29","1",29,4,NA,NA,NA,NA,NA,2,5,6,13,3,5,3,2,1,NA,3,6,5,5,6,4,2,6,5,7,3,5,3,2,13,5,6,2.73414634146341,-11.0390243902439,0.00975609756097562,-0.148780487804878,1.93170731707317,-0.14390243902439,-1.62926829268293,0,1,0
